names,date_x,score,genre,orig_lang,budget_x,country
Harry Potter and the Order of the Phoenix,07/11/2007 ,77.0,"Adventure, Fantasy, Mystery", English,150000000.0,AU
The Northman,04/21/2022 ,71.0,"Action, Adventure, Fantasy", English,70000000.0,AU
I Believe,11/07/2017 ,70.0,"Family, Drama", English,127600000.0,US
Blue's Big City Adventure,11/18/2022 ,74.0,"Family, Adventure, Music, Animation", English,132000000.0,AU
After Ever Happy,09/08/2022 ,69.0,"Romance, Drama", English,24220050.0,AU
On the Line,11/17/2022 ,62.0,Thriller, English,10000000.0,AU
Ben-Hur,05/12/1960 ,79.0,"Action, Drama, History", English,95000000.0,AU
Ben-Hur,05/12/1960 ,79.0,"Action, Drama, History", English,15000000.0,AU
The Next 365 Days,08/19/2022 ,65.0,"Romance, Drama", Polish,111600000.0,US
Hocus Pocus 2,09/30/2022 ,74.0,"Fantasy, Comedy, Family", English,40000000.0,AU
Morbius,03/31/2022 ,62.0,"Action, Science Fiction, Fantasy", English,75000000.0,AU
Cars 2,06/11/2011 ,61.0,"Animation, Family, Adventure, Comedy", English,200000000.0,AU
Tangled,01/06/2011 ,76.0,"Animation, Family", English,260000000.0,AU
The Minute You Wake Up Dead,02/01/2023 ,57.0,"Thriller, Crime", English,170000000.0,AU
Fifty Shades of Grey,02/12/2015 ,59.0,"Drama, Romance, Thriller", English,40000000.0,AU
Harry Potter and the Deathly Hallows: Part 2,07/13/2011 ,81.0,"Fantasy, Adventure", English,125000000.0,AU
The Help,09/01/2011 ,82.0,Drama, English,25000000.0,AU
"Monsters, Inc.",12/26/2001 ,78.0,"Animation, Comedy, Family", English,115000000.0,AU
The Ice Age Adventures of Buck Wild,03/25/2022 ,67.0,"Animation, Comedy, Adventure, Family", English,143000000.0,AU
Samaritan,08/25/2022 ,68.0,"Action, Crime, Science Fiction", English,100000000.0,US
Godzilla vs. Kong,03/24/2021 ,77.0,"Action, Fantasy, Science Fiction", English,155000000.0,AU
Paradise City,01/01/2023 ,58.0,"Action, Crime, Thriller", English,20000000.0,AU
Shang-Chi and the Legend of the Ten Rings,09/02/2021 ,76.0,"Action, Adventure, Fantasy", English,150000000.0,AU
Zack Snyder's Justice League,03/18/2021 ,82.0,"Action, Adventure, Fantasy, Science Fiction", English,70000000.0,AU
Lightyear,06/16/2022 ,71.0,"Animation, Action, Adventure, Family, Science Fiction", English,200000000.0,AU
Ritual,09/07/2022 ,71.0,Thriller," Dutch, Flemish",102400000.0,BE
Love at First Kiss,03/03/2023 ,62.0,"Romance, Comedy"," Spanish, Castilian",178400000.0,US
The Last Client,06/20/2022 ,76.0,"Thriller, Crime", Danish,149400000.0,DK
Suzume,04/13/2023 ,82.0,"Animation, Drama, Adventure, Fantasy", Japanese,8224023.8,AU
Pirates of the Caribbean: At World's End,05/24/2007 ,72.0,"Adventure, Fantasy, Action", English,300000000.0,AU
King Shakir Recycle,07/14/2022 ,57.0,"Animation, Adventure, Family, Action, Comedy, Science Fiction", Turkish,87200000.0,TR
The School for Good and Evil,10/19/2022 ,72.0,Fantasy, English,137000000.0,AU
Monstrous,05/13/2022 ,60.0,"Horror, Mystery, Thriller", English,6320000.0,US
Shrek 2,06/17/2004 ,72.0,"Animation, Family, Comedy, Fantasy, Adventure, Romance", English,70000000.0,AU
The Unbearable Weight of Massive Talent,04/21/2022 ,68.0,"Action, Comedy, Crime", English,30000000.0,AU
Fifty Shades Freed,01/17/2018 ,67.0,"Drama, Romance", English,55000000.0,AU
El tirabeque,11/25/2022 ,30.0,Comedy," Spanish, Castilian",15541000.0,ES
The Battle at Lake Changjin: Water Gate Bridge,02/11/2022 ,69.0,"War, History, Action, Drama", Chinese,200000000.0,AU
Spider-Man: Into the Spider-Verse,12/13/2018 ,84.0,"Action, Adventure, Animation, Science Fiction", English,90000000.0,AU
Harry Potter and the Deathly Hallows: Part 1,11/13/2010 ,78.0,"Adventure, Fantasy", English,250000000.0,AU
Emily the Criminal,06/08/2022 ,68.0,"Crime, Drama, Thriller", English,116200000.0,AU
Emergency Declaration,08/03/2022 ,77.0,"Action, Drama, Mystery, Thriller", Korean,18052672.0,KR
Blood,01/27/2023 ,58.0,"Thriller, Horror", English,107000000.0,US
Memory,07/05/2022 ,70.0,"Action, Thriller, Crime", English,63400000.0,AU
Orgasm Lecture 2,02/20/2020 ,100.0,Drama, Korean,201000000.0,KR
Whisper,01/23/2022 ,64.0,"Horror, Thriller", English,20000.0,GB
The Shack,04/27/2017 ,75.0,"Drama, Fantasy", English,20000000.0,AU
Eternals,11/04/2021 ,70.0,"Science Fiction, Action, Adventure", English,200000000.0,AU
Doraemon: Nobita's Little Star Wars 2021,03/04/2022 ,57.0,"Animation, Science Fiction, Adventure", Japanese,109000000.0,JP
Dog,03/17/2022 ,74.0,"Drama, Comedy", English,15000000.0,AU
The Invitation,08/25/2022 ,64.0,"Horror, Thriller", English,1000000.0,AU
The Conjuring: The Devil Made Me Do It,06/03/2021 ,75.0,"Horror, Mystery, Thriller", English,40000000.0,AU
3-D Sex and Zen: Extreme Ecstasy,04/14/2011 ,48.0,"Drama, Adventure, Romance, Action, History", Cantonese,3500000.0,HK
Control,09/23/2022 ,54.0,"Science Fiction, Thriller, Mystery", English,6400000.0,US
